l_ukrainian:
 guru_angad:0 "Гуру Ангад"
 desc_guru_angad:0 "Гуру розповсюджує алфавіт Гурмукхі, що сприяє розповсюдженню письменності."
 guru_amar_das:0 "Гуру Амар Дас"
 desc_guru_amar_das:0 "Гуру засновує місцеве представництво Массанд, призначене для зміцнення віри й духовного керівництва Сикхів."
 guru_ram_das:0 "Гуру Рам Дас"
 desc_guru_ram_das:0 "Гуру сприяє структуризації нашого суспільства та створенню релігійного центру."
 guru_arjan:0 "Гуру Арджан"
 desc_guru_arjan:0 "Гуру закінчує написання Аді Грантх, збірка духовних знань попередніх гуру та інших філософів."
 guru_hargobind:0 "Гуру Хар Гобінд"
 desc_guru_hargobind:0 "Гуру почав тренувати й озброювати своїх послідовників."
 guru_har_rai:0 "Гуру Хар Рай"
 desc_guru_har_rai:0 "Цей гуру - м'який та дипломатичний, він шукає мирні рішення, намагаючись у той же час не відступати від віри."
 guru_har_krishan:0 "Гуру Хар Крішан"
 desc_guru_har_krishan:0 "Гуру дуже молодий, що ускладнює дискусії у релігійних питаннях."
 guru_tegh_bahadur:0 "Гуру Теґх Бахадур"
 desc_guru_tegh_bahadur:0 "Гуру повстав проти релігійного переслідування індусів."
 guru_gobind_singh:0 "Гуру Гобінд Сіґх"
 desc_guru_gobind_singh:0 "Гуру заснував рух Хальса, яке об'єднує сикхів та готує їх присвятити свої життя боротьбі із гнобителями."
 save_the_burning_world_title:0 "Врятувати палаючий світ"
 save_the_burning_world_desc:0 "Наша віра народилася в пошуку єдності, де бог був би вище релігійних відмінностей світу. Проте, якщо ми прагнемо згасити вогонь гріха в цьому світі, нам потрібні люди, готові пізнати правду."
 saving_the_burning_world:0 "Рятуємо палаючий світ"
 desc_saving_the_burning_world:0 "Ми взяли на себе обов'язок викорчувати все зло у світі, показавши людям істинний шлях, навіть якщо це означає утиск інших релігій."
 sikhism_flavor.1.t:0 "Віра Сикхів"
 sikhism_flavor.1.d:0 "Держава [Root.GetName] розташована на кордоні між прихильниками індуїзму та ісламу. У цьому районі, відзначеному релігійними суперечками та відмінностями, людина на ім'я Нанак почала проповідувати ідею про те, що немає ні індуїстів ні мусульман, та що істинний бог є ні тим ні іншим.\n\nХоча відмова Нанака від стародавніх звичаїв обурила найвідданіших прихильників віри [Root.Religion.GetName], його рівне, не залежне від касти та віросповідання ставлення до людей, дозволило його вченню закріпитися серед населення. Його послідовники, відомі як Сикхи, стрімко поширюють цю нову віру по території дрежави [Root.GetName]."
 sikhism_flavor.1.a:0 "Ми повинні поговорити із цим Нанаком про віру [Root.Owner.Religion.GetName]."
 sikhism_flavor.2.t:0 "Гуру Ангад"
 sikhism_flavor.2.d:0 "\"Смерть перестане бути злом, якщо найдеться хтось, хто пізнає її.\"\n\nПатріарх нашої віри покинув нас. Тіло Гуру Нанака мертве, але дух великого Гуру живий у його послідовнику - Гуру Ангаді. Ангад - один із самих вірних послідовників Нанака, продовжувач справи його життя - заснування громади сикхів поширючи використання нового алфавіту, для заохочення молоді до навчання."
 sikhism_flavor.2.a:0 "Світло Гуру сяє над нами."
 sikhism_flavor.3.t:0 "Гуру Амар Дас"
 sikhism_flavor.3.d:0 "Гуру Ангад помер та залишив свій духовний пост на свого вірного слугу - Амара Даса. Будучи людиною дуже смиренною, Гуру Амар Дас, проте, має великі амбіції щодо розповсюдження сикхизму. Він проповідує доктрину рівності, яка набирає популярності серед простого народу, також він створює релігійні представництва - Масанди, які несуть слово нашої віри набагато далі, ніж це міг би зробити Гуру самотужки."
 sikhism_flavor.3.a:0 "Наш Гуру це сила слабких і визволитель поневолених!"
 sikhism_flavor.4.t:0 "Гуру Рам Дас"
 sikhism_flavor.4.d:0 "Гуру Амар Дас залишив цей світ, заповівши свій духовний пост своєму учневі та зятю Джеті, нині відомому як Рам Дас. Рам Дас продовжує будівництво нашого священного міста та закликає послідовників до просвітлення не тільки через особисті медитації, але й через активну взаємодію із суспільством та своїми братами-сикхами."
 sikhism_flavor.4.a:0 "Наш Гуру слуга божий, ми ж служимо нашому Гуру."
 sikhism_flavor.5.t:0 "Гуру Арджан"
 sikhism_flavor.5.d:0 "Після смерті Амар Даса наступним Гуру було обрано його молодшого сина - Арджана, незважаючи на заперечення його старшого брата. Щоб зберегти знання та псалми великих гуру минулого, він почав упорядковувати збірник, відомий як Аді Грантх. Духовні тексти, зібрані в ньому належили багатьом великим наставникам. Гуру сказав, що кожний може долучитися до написання збірника. Так само при Арджані був зведений великий храм Хармандір-Сахіб, який дав усім сикхам місце для зустрічей та богослужінь."
 sikhism_flavor.5.a:0 "Ми маємо берегти та множити ці знання."
 sikhism_flavor.6.t:0 "Гуру Хар Гобінд"
