l_ukrainian:
 ADA:0 "Адал"
 ADE:1 "Аден"
 AKK:0 "Ак-Коюнлу"
 ALB:0 "Албанія"
 ALG:0 "Алжир"
 ALH:0 "Хааса"
 ALS:0 "Ельзас"
 AMG:0 "Арманьяк"
 ANH:0 "Ангальт"
 ANN:0 "Аннам"
 ANS:0 "Ансбах"
 ARA:0 "Арагон"
 ARK:0 "Аракан"
 ARM:0 "Вірменія"
 ASH:0 "Ашанті"
 ASS:0 "Ассам"
 AST:0 "Астрахань"
 ATH:0 "Афіни"
 ATJ:0 "Ачех"
 AUV:0 "Овернь"
 AVI:0 "Авіньйон"
 AYU:0 "Аюттхая"
 AZT:0 "Ацтеки"
 BAD:0 "Баден"
 BLI:0 "Балі"
 BAN:0 "Бантен"
 BAL:0 "Белуджистан"
 BAV:0 "Баварія"
 BEI:0 "Бруней"
 BEN:0 "Бенін"
 BHU:0 "Бутан"
 BIJ:0 "Біджапур"
 BND:0 "Бунделкханд"
 BNG:0 "Бенгалія"
 BOH:0 "Богемія"
 BOS:0 "Боснія"
 BOU:0 "Бурбони"
 BRA:0 "Бранденбург"
 BRB:0 "Брабант"
 BRE:0 "Бремен"
 BRI:0 "Бретань"
 BRR:0 "Берар"
 BRU:0 "Брауншвейг"
 BRZ:0 "Бразилія"
 BUL:0 "Болгарія"
 BUR:0 "Бургундія"
 CAN:0 "Канада"
 CAS:0 "Кастилія"
 CAT:0 "Каталонія"
 CEP:0 "Корфу"
 CHA:0 "Чампа"
 CHE:0 "Черокі"
 CHG:0 "Чагатай"
 CHK:0 "Чампасак"
 CHL:0 "Чилі"
 CHM:0 "Чімор"
 CHP:0 "Шампань"
 CND:0 "Кандар"
 COL:0 "Колумбія"
 CNN:0 "Коннахт"
 COR:0 "Корсика"
 CRE:0 "Кріки"
 CRI:0 "Крим"
 CRN:0 "Корнуол"
 CRO:0 "Хорватія"
 CRT:0 "Крит"
 CYP:0 "Кіпр"
 DAI:0 "Дай В'єт"
 DAN:0 "Данія"
 DAU:0 "Дофіне"
 DLH:0 "Делі"
 DUL:0 "Дулкадір"
 DUR:0 "Дуррані"
 ENG:0 "Англія"
 ETH:0 "Ефіопія"
 FER:0 "Феррара"
 FEZ:0 "Фес"
 FIN:0 "Фінляндія"
 FLA:0 "Фландрія"
 FOI:0 "Фуа"
 FRA:0 "Франція"
 FRI:0 "Фрисландія"
 GBR:0 "Велика Британія"
 GDW:0 "Гондвана"
 GEL:0 "Гелдерн"
 GEN:0 "Генуя"
 GEO:0 "Грузія"
 GER:0 "Німеччина"
 GOL:0 "Велика Орда"
 GOT:0 "Готланд"
 GRA:0 "Гранада"
 GRE:0 "Греція"
 GUJ:0 "Гуджарат"
 GUY:0 "Гієнь"
 HAB:0 "Австрія"
 HAI:0 "Ено"
 HAM:0 "Гамбург"
 HAN:0 "Ганновер"
 HAU:0 "Хауса"
 HED:0 "Хіджаз"
 HES:0 "Гессен"
 HOL:0 "Голландія"
 HUN:0 "Угорщина"
 HUR:0 "Гурони"
 INC:0 "Інки"
 IRE:0 "Ірландія"
 IRO:0 "Ірокези"
 ITA:0 "Італія"
 JAP:0 "Японія"
 KAR:0 "Караман"
 KAZ:0 "Казань"
 KBO:0 "Канем-Борну"
 KHA:0 "Монголія"
 KHD:0 "Кандеш"
 KHI:0 "Хіва"
 KHM:0 "Кхмери"
 KLE:0 "Клеве"
 KNI:0 "Орден Госпітальєрів"
 KOK:1 "Фергана"
 KOL:0 "Колон"
 KON:0 "Конго"
 KOR:0 "Корея"
 KRK:0 "Карнатака"
 KSH:0 "Кашмір"
 KUR:0 "Курляндія"
 KZH:0 "Казахстан"
 LAN:0 "Флоренція"
 LAP:0 "Ла-Плата"
 LEI:0 "Ленстер"
 LIE:0 "Льєж"
 LIT:0 "Литва"
 LNA:0 "Ланна"
 LOA:0 "Лоанго"
 LOR:0 "Лотарингія"
 LOU:0 "Луїзіана"
 LUA:0 "Луанг-Прабанг"
 LUN:0 "Люнебург"
 LUX:0 "Люксембург"
 LXA:0 "Лан-Санг"
 MAD:0 "Мадурай"
 MAG:0 "Магдебург"
 MAI:0 "Майнц"
 MAL:0 "Малі"
 MAM:0 "Мамлюки"
 MAN:0 "Мантуя"
 MAY:0 "Майя"
 MAZ:0 "Мазовія"
 MCH:0 "Маньчжурія"
 MEX:0 "Мексика"
 MKL:0 "Мекленбург"
 MKS:0 "Макассар"
 MLC:0 "Малакка"
 MLO:0 "Мілан"
 MLW:0 "Малава"
 MNG:0 "Мін"
 MNS:0 "Манстер"
 MOD:0 "Модена"
 MOE:0 "Морея"
 MOL:0 "Молдова"
 MON:0 "Чорногорія"
 MOR:0 "Марокко"
 MOS:0 "Московія"
 MTR:0 "Матарам"
 MUG:0 "Великі Моголи"
 MUN:0 "Мюнстер"
 MYS:0 "Майсур"
 NAJ:0 "Неджд"
 NAV:0 "Наварра"
 NAX:0 "Наксос"
 NED:0 "Нідерланди"
 NEV:0 "Невер"
 NOG:0 "Ногайська орда"
 NOL:0 "Нортумберленд"
 NOR:0 "Норвегія"
 NOV:0 "Новгород"
 NPL:0 "Непал"
 NRM:0 "Нормандія"
