l_ukrainian:
 TRIGGER_HAS_EVER_HUMILIATED:0 "Принизили державу $WHO|Y$"
 TRIGGER_HAS_NOT_EVER_HUMILIATED:0 "Ніколи не принижували державу $WHO|Y$"
 DIPLOMATIC_REPUTATION_EFFECT:0 "§YЕфекти від дипломатичної репутації:§W"
 NUM_ACCEPTED_CULTURES_EFFECT:0 "§YЕфекти від числа прийнятих культур:§W"
 RULER_ADM_EFFECT:0 "§YЕфекти від адміністративних навичок правителя:§W"
 RULER_DIP_EFFECT:0 "§YЕфекти від дипломатичних навичок правителя:§W"
 RULER_MIL_EFFECT:0 "§YЕфекти від військових навичок правителя:§W"
 HEIR_ADM_EFFECT:0 "§YЕфекти від адміністративних навичок спадкоємця:§W"
 HEIR_DIP_EFFECT:0 "§YЕфекти від дипломатичних навичок спадкоємця:§W"
 HEIR_MIL_EFFECT:0 "§YЕфекти від військових навичок спадкоємця:§W"
 CONSORT_ADM_EFFECT:0 "§YЕфекти від адміністративних навичок консорта:§W"
 CONSORT_DIP_EFFECT:0 "§YЕфекти від дипломатичних навичок консорта:§W"
 CONSORT_MIL_EFFECT:0 "§YЕфекти від військових навичок консорта:§W"
 PAPAL_INFLUENCE_EFFECT:0 "§YЕфекти від папського впливу:§W"
 CHURCH_POWER_EFFECT:0 "§YЕфекти від церковної влади:§W"
 FERVOR_VALUE_EFFECT:0 "§YЕфекти від запалу:§W"
 KARMA_EFFECT:0 "§YЕфекти від карми:§W"
 NEGATIVE_KARMA_EFFECT:0 "§YЕфекти від негативної карми:§W"
 POSITIVE_KARMA_EFFECT:0 "§YЕфекти від позитивної карми:§W"
 mandate:0 "Мандат"
 imperial_authority_emperor:0 "Імперський авторитет"
 imperial_authority_member:0 "Імперський авторитет"
 IMPERIAL_AUTHORITY_EMPEROR_EFFECT:0 "Імперський авторитет надає Імператору такі масштабовані ефекти:\n$MODIFIERDESC$"
 IMPERIAL_AUTHORITY_MEMBER_EFFECT:0 "Імперський авторитет надає членам такі масштабовані ефекти:\n$MODIFIERDESC$"
 IMPERIAL_MANDATE_MODIFIER_DESC:0 "Стабільність мандата надає такі масштабовані ефекти:\n$MODIFIERDESC$"
 IMPERIAL_AUTHORITY_BONUS_DESC:0 "Авторитет вище $VALUE|Y$ надає такі масштабовані ефекти: "
 IMPERIAL_AUTHORITY_BONUS_EMP_DESC:0 "\tІмператору:\n$MODIFIERDESC$"
 IMPERIAL_AUTHORITY_BONUS_MEM_DESC:0 "\tЧленам:\n$MODIFIERDESC$"
 IMPERIAL_AUTHORITY_PENALTY_DESC:0 "Авторитет нижче $VALUE|Y$ надає такі масштабовані ефекти: "
 IMPERIAL_AUTHORITY_PENALTY_EMP_DESC:0 "\tІмператору:\n$MODIFIERDESC$"
 IMPERIAL_AUTHORITY_PENALTY_MEM_DESC:0 "\tЧленам:\n$MODIFIERDESC$"
 STATE_ORDERS_TT_HAS_PASHA:0 "$NAME|Y$ has a Pasha."
 STATE_ORDERS_TT_HAS_ORDER:0 "$NAME|Y$ has a $ORDER|Y$ order."
 SLACKEN_NOT_ENOUGH_AP:0 "Зниження стандартів вербування зупинилося, тому що професіоналізм армії впав нижче $VALUE|Y$."
 SLACKEN_TOO_MUCH_MANPOWER:0 "Зниження стандартів вербування зупинилося, тому що число рекрутів досягло §Y$VALUE$%§!."
 SLACKEN_BELOW_MIN_AP:0 "Вам потрібно принаймні $VALUE|Y$ професіоналізму армії, щоб знизити стандарти вербування!"
 SLACKEN_ABOVE_MAX_MANPOWER:0 "Вам потрібно мати менше §Y$VALUE$%§! рекрутів. щоб знизити стандарти вербування!"
 SLACK_TEXT_NODROP:0 "Ми знизили стандарти вербування, а також отримаємо такий модифікатор:"
 SLACKEN_STOP:0 "Зупинка зниження стандартів вербування"
 slackening_modifier:0 "Зниження стандартів вербування"
 SLACKEN_AUTODISABLE_TITLE:0 "Зниження стандартів вербування було вимкнуто!"
 SLACKEN_AUTODISABLE_SETUP:0 "Коли зниження стандартів вербування вимкнуто."
 SLACKEN_AUTODISABLE_HEADER:0 "$MESSENGER$"
 SLACKEN_AUTODISABLE_1:0 "Зниження стандартів вербування було вимкнуто."
 SLACKEN_AUTODISABLE_2:0 "$REASON$"
 SLACKEN_AUTODISABLE_LOG:0 "Зниження стандартів вербування було вимкнуто."
 SLACKEN_AUTODISABLE_BTN1:0 "Гаразд"
 SLACKEN_AUTODISABLE_BTN2:0 "Гаразд"
 SLACKEN_AUTODISABLE_BTN3:0 "Перейти"
 ON_CONSTRUCTION_STARTED:0 "Початок будівництва цієї будівлі дасть нам такі ефекти: "
 ON_CONSTRUCTION_CANCELED:0 "Скасування будівництва цієї будівлі нам такі ефекти: "
 TRADE_FAVORS_FOR_TRUST_NOAMOUNT:0 "Сума прихильності не може бути $VAL|Y0$"
 MAPMODE_SCORCHED_EARTH:0 "Випалювання землі"
 MAPMODE_SCORCHED_EARTH_DESC:0 "Показує, які провінції мають модифікатор 'Випалена земля'."
 MAPMODE_IMPROVED_INFRASTRUCTURE:0 "Розширили інфраструктуру"
 MAPMODE_IMPROVED_INFRASTRUCTURE_DESC:0 "Показує, які провінції розширили свою інфраструктуру."
 IMPROVED_INFRASTRUCTURE_MAP_TOOLTIP:0 "Інфраструктура провінції $PROVINCE|Y$ покращувалася $AMOUNT$ разів."
 SCORCHED_EARTH_MAP_TOOLTIP:0 "Провінція $PROVINCE|Y$ буде випаленою землею до $DATE|Y$."
 NO_SCORCHED_EARTH_MAP_TOOLTIP:0 "Провінція $PROVINCE|Y$ не є випаленою землею."
 SET_POPE_DESC:0 "$COUNTRYNAME$ отримає контрольнад Папою."
 EFFECT_REMOVE_POWER_PROJECTION:0 "$TAG$ втратить $AMOUNT|R$ могутності."
 NO_CLAIM_COST_INCREASE:0 "Cost for additional claims is ignored due to our modifiers."
 MODIFIER_NO_CLAIM_COST_INCREASEMENT:0 "No additional claim cost"
 MODIFIER_NAVAL_MORALE_DAMAGE:0 "Удар по бойовому духу флота"
 MODIFIER_NAVAL_MORALE_DAMAGE_RECEIVED:0 "Втрата бойового духу флота"
 average_global_autonomy:0 "Середній рівень автономії"
 reverse_average_global_autonomy:0 "Зворотній середній рівень автономії"
 average_overseas_subject_liberty_desire:0 "Average Liberty Desire from Oversea Subjects"
 reverse_average_overseas_subject_liberty_desire:0 "Reverse Average Liberty Desire from Oversea Subjects"
 average_subject_liberty_desire:0 "Average Liberty Desire"
 reverse_average_subject_liberty_desire:0 "Reverse Average Liberty Desire"
 average_oversea_liberty_desire:0 "Average Overseas Liberty Desire"
 reverse_average_oversea_liberty_desire:1 "Reverse Average Overseas Liberty Desire"
 MODIFIER_HAS_TERCIO:0 "Держава може наймати терціїв"
 MODIFIER_HAS_MUSKETEER:0 "Держава може наймати мушкетерів"
 MODIFIER_HAS_SAMURAI:0 "Держава може наймати самураїв"
 MODIFIER_HAS_GEOBUKSEON:0 "Держава може наймати кобуксони"
 MODIFIER_HAS_MAN_OF_WAR:0 "Держава може наймати мановари"
 MODIFIER_HAS_GALLEON:0 "Держава може наймати галеони"
 MODIFIER_HAS_GALLEASSE:0 "Держава може наймати галеаси"
 MODIFIER_HAS_CARAVEL:0 "Держава може наймати каравели"
 MODIFIER_HAS_VOC_INDIAMEN:0 "Держава може наймати ост-індійців"
 automatic_seat_in_parliament_abs_impact:0 "Automatic Assignment of a Parliament Seat: $VAL$ per $SCALE$ development.\n"
 manual_seat_in_parliament_abs_impact:0 "Manual Assignment of a Parliament Seat: $VAL$ per $SCALE$ development.\n"
 CAN_NOT_REDUCE_INFLATION_TT:0 "We can't reduce inflation!"
 MODIFIER_MAY_NOT_REDUCE_INFLATION:0 "Can NOT reduce inflation"
 MODIFIER_MAY_NOT_CONVERT_TERRITORIES:0 "Can NOT convert provinces in territories"
 MODIFIER_ATTACK_BONUS_IN_CAPITAL_TERRAIN_IN_PROV_PENALTY:0 "§R$VALUE|=0$ Combat Penalty§!"
 MODIFIER_ATTACK_BONUS_IN_CAPITAL_TERRAIN_IN_PROV_BONUS:0 "§G$VALUE|=0$ Combat Bonus§!"
 can_celebrate_festival:0 "§YYou can celebrate a festival!§!"
 MODIFIER_NO_COST_FOR_REINFORCING:0 "No cost for reinforcing"
 LOOT_RECOVERY_DATE_AFTER:0 "Востаннє цю провінцію було пограбовано $LAST_LOOT_DATE|Y$. Вона почне відновлюватися на §G$PERCENTAGE$%§! щомісячно, якщо її знову не буде пограбовано."
 holy_order_short:0 "Орден"
 holy_order_full:0 "Святий орден"
 coordinator_office_short:0 "Office"
 coordinator_office_full:0 "Grand Coordinator Office"
 EVERY_OWNED_OR_SUBJECT_PROV:0 "Кожна провінція, приналежна нам або нашим суб'єктам"
 NO_ANY_OWNED_OR_SUBJECT_PROVINCE_STARTS:0 "Жодна провінція, приналежна нам або нашим суб'єктам"
 NO_ANY_OWNED_OR_NON_TRIBUTARY_PROVINCE_STARTS:0 "Жодна провінція, приналежна нам або нашим суб'єктам-неданникам"
 ANY_OWNED_OR_SUBJECT_PROVINCE_STARTS:0 "Будь-яка провінція, приналежна нам або нашим суб'єктам"
 ANY_OWNED_OR_NON_TRIBUTARY_PROVINCE_STARTS:0 "Будь-яка провінція, приналежна нам або нашим суб'єктам-неданникам"
 ALL_OWNED_OR_SUBJECT_PROVINCE_STARTS:0 "Усі провінції, приналежні нам або нашим суб'єктам"
 ALL_OWNED_OR_NON_TRIBUTARY_PROVINCE_STARTS:0 "Усі провінції, приналежні нам або нашим суб'єктам-неданникам"
 RANDOM_PROVINCES_AMOUNT:0 " ($AMOUNT$ випадково)"
 RANDOM_PROVINCES_AMOUNT_TOOLTIP:0 "$AMOUNT$ випадкові провінції в "
 ONE_RANDOM_PROVINCE_TOOLTIP:0 "Випадкова провінція в "
 PROVINCE_GROUP:0 "Провінційна група"
 EVERY_OWNED_OR_NON_TRIBUTARY_PROV:0 "Кожна провінція, приналежна нам або нашим суб'єктам-неданникам"
 FRONTIER_TOOLTIP:0 "$COUNTRY|Y$ is bulding a colony in $PROVINCE|Y$. Its current size is $AMOUNT|0$. Each month it will increase the population by $MIN$-$MAX$."
 RETURN_CORE_COUNTRY_OFFDESC:0 "You will request that $RECIPIENT$ return our core province $PROV$ to $TAG$ as a favor to their ally. This will cost $FAVOURS$ Favours."
 land_units_killed:1 "Сухопутні підрозділи знищено в одній битві"
 land_units_lost:1 "Сухопутні підрозділи втрачено в одній битві"
 naval_units_killed:1 "Морські підрозділи знищено в одній битві"
 naval_units_lost:1 "Морські підрозділи втрачено в одній битві"
 total_land_units_killed:0 "Загальна кількість знищених наземних військ"
 total_land_units_lost:0 "Загальна кількість втрачених наземних військ"
 total_naval_units_killed:0 "Загальна кількість знищених морських військ"
 total_naval_units_lost:0 "Загальна кількість втрачених морських військ"
 MODIFIER_HAS_STRELTSY:0 "Держава може наймати стрільців"
 MODIFIER_ALLOWED_STRELTSY_FRACTION:0 "Граничний ліміт стрільців"
 MODIFIER_AMOUNT_OF_STRELTSY:0 "Ліміт стрельців"
 MODIFIER_LOCAL_HAS_STRELTSY:0 "У провінції можна вербувати стрільців"
 STRELTSY_LIMIT_CULTURE:0 "$PROVINCE$ is a $CULTURE$ province, so can not recruit Streltsy Infantry here."
 STRELTSY_FORCELIMIT:0 "Ми можемо рекрутувати до $VAL|%Y$ полків §Gстрільців§! з доступного нам ліміту військ ($FL$) через:\n"
 TRIG_STATE_NOT_PROSP_NONAME:0 "НЕ процвітає."
 TRIG_STATE_PROSP_NONAME:0 "Процвітає."
 HAD_RULER_FLAG_LESS_THAN:1 "Had ruler flag '$FLAG|Y$' for less than $DAYS|Y$ days (зараз: $CURRENT|Y$)"
 HAD_RULER_FLAG_AT_LEAST:1 "Had ruler flag '$FLAG|Y$' for at least $DAYS|Y$ days (зараз: $CURRENT|Y$)"
 vassal_scutage_at_war:0 "Can't enable scutage if subject is at war!"
 OTHER_FORCES:0 "And $AMOUNT$ from $OTHER$ other countries"
 MAPMODE_PARLIAMENT_SEATS:0 "Місця в парламенті"
 MAPMODE_PARLIAMENT_SEATS_DESC:0 "Показує, яким провінціям призначено місце в парламенті."
 PARLIAMENT_SEATS_TOOLTIP:0 "Провінція $PROVINCE|Y$ має місце в парламенті."
 SPECIAL_UNIT_FORCELIMIT_MODIFIER_LABEL:0 "This number is further multiplied by $VAL|+%$ owning to:\n$MODIFIER$"
 TRADE_NODE_INCOME_EFFECT:0 "Скарбниця $DIRECTION$ на $VALUE$¤ за $AMOUNT|0$ міс. of income from $NODE|Y$ trade node.\n"
 GRANT_PRIVILEGE_SHORT:0 "Привілей $PRIVILEGE|Y$ буде надано стану $ESTATE|Y$, що призведе до таких ефектів:"
 REVOKE_PRIVILEGE_SHORT:0 "Привілей $PRIVILEGE|Y$ буде відкликано в стану $ESTATE|Y$, що призведе до таких наслідків:"
 PRIVILEGE_EFFECTS:0 "§YЕфекти:§!"
 PRIVILEGE_TO_REVOKE:0 "§YСкасувати умови:§!"
 IMPERIAL_INCIDENT_STARTED_LOG:0 "An imperial incident started in the Holy Roman Empire."
 has_slacken_on_instant:0 "§YYou are Slackening Recruiting Standards§!"
 has_slacken_on_delayed:0 ""
 GOVERNMENT_POWER_FROZEN:0 "We don't gain any $NAME|Y$ each month, due to it being frozen. It would change by $GAIN$ otherwise."
 SUBJECT_INTERACTION_LIBERTY_DESIRE:0 "Liberty desire of the subject needs to be lower than $VAL|0$%."
 SUBJECT_INTERACTION_COOLDOWN:0 "We can't use this interaction again before $DATE|Y$."
 IMPERIAL_AUTHORITY_MODIFIER_DESC:0 "It is further multiplied by $VALUE|1+%$ due to:"
 HRE_DISMANTLE_PRESTIGE:0 "which gives us $VAL|G1$ prestige."
 ONLY_MANUFACTORIES:0 "Мануфактури"
 MANUFACTORIES_AND_INDUSTRIALIZATION:0 "§YМануфактури§! та §YІндустріалізація§!"
 OURSIDETRUCEENDS_TITLE:0 "Truce Ended"
 OURSIDETRUCEENDS_SETUP:0 "When a one-sided truce ends between your nation and another."
 OURSIDETRUCEENDS_HEADER:0 "Наш канцлер повідомляє"
 OURSIDETRUCEENDS_1:0 "One-sided Truce Expired"
 OURSIDETRUCEENDS_2:1 "Our truce with $RECIPIENT$ ended."
 OURSIDETRUCEENDS_5:1 "We can now declare war on them without additional penalties."
 OURSIDETRUCEENDS_6:0 "This was a one-sided truce."
 OURSIDETRUCEENDS_LOG:0 "The truce between $ACTOR$ and $RECIPIENT$ has ended."
 OURSIDETRUCEENDS_BTN1:0 "Гаразд"
 OURSIDETRUCEENDS_BTN2:0 "Гаразд"
 OURSIDETRUCEENDS_BTN3:0 "Перейти"
 OUR_CAPITAL:0 "Наше"
 WE_CAPITAL:0 "Ми"
 THEY_CAPITAL:0 "Вони"
 MODIFIER_ALLOWED_COSSACK_FRACTION:0 "Граничний ліміт козаків"
 MODIFIER_ALLOWED_REV_GUARD_FRACTION:0 "Граничний ліміт революційної гвардії"
 MODIFIER_ALLOWED_RAJPUT_FRACTION:0 "Граничний ліміт раджпутів"
 DominationDLC:0 "Домінація"
 KingOfKingsDLC:0 "Король королів"
